Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,SK6812,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,50,-40,180,top
D2,SK6812,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,67,-40,180,top
D3,SK6812,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,84,-40,180,top
D4,SK6812,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,101,-40,180,top
D5,SK6812,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,118,-40,180,top
D6,SK6812,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,135,-40,180,top
D7,SK6812,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,152,-40,180,top
D8,SK6812,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,169,-40,180,top
D9,SK6812,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,186,-40,180,top
D10,SK6812,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,203,-40,180,top
